Gross Output by Industry
Gross Output by Industry
"Release Date: November 16, 2021"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"    1","    All industries",1006.0,1029.7,1105.5,1163.0,1242.7,1356.0,1479.2,1555.0,1689.8,1824.9,1903.0,2049.3,2273.7,2556.0,2877.8,3055.3,3434.6,3872.7,4366.8,4925.5,5462.0,6033.5,6175.0,6631.0,7313.8,7775.7,8031.0,8707.5,9434.2,10069.8,10624.6,10808.0,11381.0,12024.4,12826.8,13653.2,14463.4,15393.3
"    2",Private industries,904.0,921.8,987.3,1036.9,1108.7,1211.7,1316.6,1372.9,1486.8,1605.4,1667.0,1793.0,1995.0,2258.9,2547.7,2689.3,3042.9,3447.9,3900.2,4412.8,4888.2,5388.9,5468.1,5868.2,6496.1,6883.4,7075.2,7702.6,8366.9,8919.9,9386.8,9490.3,9998.7,10592.7,11334.5,12104.9,12864.4,13728.2
"    3","  Agriculture, forestry, fishing, and hunting",39.0,40.1,41.9,43.5,42.3,46.7,50.2,50.6,52.3,57.2,59.5,64.3,74.9,104.8,106.6,108.2,113.1,119.6,140.4,165.6,162.8,178.7,171.2,156.2,182.0,172.5,165.7,175.1,183.2,202.0,211.2,205.5,217.1,218.7,237.7,232.7,255.6,257.9
"    4","    Farms",35.7,36.7,38.1,39.2,37.7,41.6,44.6,44.7,45.5,49.5,51.8,55.4,63.4,91.3,92.0,94.4,96.1,99.5,117.6,140.5,137.8,152.6,147.0,130.0,154.9,147.7,139.2,147.1,153.7,171.9,179.9,175.3,182.6,182.2,197.5,191.9,215.8,219.4
"    5","    Forestry, fishing, and related activities",3.3,3.4,3.8,4.3,4.7,5.1,5.5,5.9,6.8,7.7,7.7,8.9,11.5,13.5,14.6,13.8,17.0,20.1,22.8,25.1,25.0,26.1,24.2,26.2,27.1,24.8,26.5,28.0,29.6,30.1,31.3,30.2,34.5,36.5,40.2,40.8,39.8,38.5
"    6","  Mining",19.5,19.4,19.5,19.6,20.6,21.7,23.0,23.7,25.0,27.1,29.9,29.9,31.1,36.6,57.1,67.6,74.3,84.5,97.4,126.2,173.8,226.2,215.5,193.2,207.4,193.3,130.1,134.0,135.5,141.7,160.1,152.4,145.2,145.1,143.3,142.2,167.9,176.9
"    7","    Oil and gas extraction",8.9,9.1,9.4,9.6,9.8,10.3,11.1,12.1,12.5,13.4,14.2,14.9,15.0,17.2,27.6,31.8,36.0,42.3,46.6,62.1,95.7,130.0,124.3,118.1,125.8,117.8,69.7,75.6,68.8,74.6,87.3,78.6,76.8,78.1,72.9,72.3,96.1,98.5
"    8","    Mining, except oil and gas",7.5,7.5,7.4,7.5,8.2,8.8,9.2,9.0,9.7,10.6,12.6,12.1,12.8,15.6,23.7,27.8,28.9,29.7,33.9,43.3,48.3,49.9,42.3,42.3,47.3,44.9,43.0,43.8,49.1,50.5,53.2,53.6,52.5,49.1,53.9,54.9,55.2,56.2
"    9","    Support activities for mining",3.1,2.8,2.7,2.5,2.6,2.6,2.7,2.6,2.8,3.0,3.0,2.9,3.3,3.8,5.9,8.0,9.4,12.5,16.9,20.8,29.9,46.3,48.8,32.8,34.3,30.6,17.4,14.6,17.5,16.6,19.6,20.2,15.9,17.8,16.4,15.0,16.5,22.1
"    10","  Utilities",20.2,20.9,21.9,22.4,23.1,24.3,25.8,27.2,28.8,30.5,33.0,35.3,40.2,43.3,52.6,63.3,74.0,85.9,98.4,115.0,127.2,148.1,160.8,178.9,182.0,177.2,160.7,183.1,191.6,204.0,208.3,219.3,226.9,239.1,242.1,244.0,255.5,262.0
